id,tweet,geo
1494449625855582208,fiz minhas unhas agora to me sentindo a maddy, 
1494449625830412291,"Arrependida de ter parado pra comprar roupa, a hora que eu tô pegando o ônibus, Jesus 😮‍💨", 
1494449625700487170,@LRobertoBarroso @TSEjusbr Um grande mentiroso. Propagador de fake news. Defensor de Terrorista e pregador de falsa fé ( João de Deus). Presta um desserviço ao Brasil e avacalha com a suprema corte., 
1494449625683668998,nao aguento mais sentir ânsia a cada imagem q passa da nath puxando a boca do elierpes, 
1494449625641754630,@guarana Elas ignoram a gente https://t.co/CSJWt0SFkm, 
1494449625297821696,"@RomuloSerafim @jaloo Tem sim, a que ele lançou hoje. (A que não existe)", 
1494449625264234499,"@eduardoculem Ruth, eu nem quero sobremesa, clico só porque é bonitinho, o problema é que a receita é horrenda", 
1494449625234870276,o motivo de eu quero voltar a jogar o mais rápido possível é por causa dela, 
1494449625155182593,"@a_seresta tem um sitio velho , aqui no sul de minas que dizem é mal assombrado . poderia intermediar o negocio e ver quanto ela cobra para espantar a assombração  de lá.", 
1494449624849043461,@hell_phope Ok vou tirar print pra qnd a gnt jogar o jogo de achar marca texto denvo, 
1494449624790319108,"Nossa a menina postou uma ft da turma dela de medicina e nao tem um preto, jesus amado", 
1494449624748376070,a voz dele é uma delícia af https://t.co/Oly7bpfmI7, 
1494449624555393024,@SeriesBrasil O elenco já vai ter filhos quando lançarem a 5a, 
1494449624542810115,Desculpa pessoal o YouTube derrubou o vídeo que mostra a abertura da denúncia em processo no Grande Jury americano., 
1494449624270135296,fui passar o descolorante para consertar a parte escura né... o pincel estava sujo de tinta preta https://t.co/rqKep2h7DZ, 
1494449624228241412,"Para eu terminar QUALQUER tipo de relação com alguém a pessoa tem que me levar ao meu LIMITE real e me magoar demais pq eu não acho que as pessoas sejam descartáveis, eu me esforço muito pra tentar resolver todos os empecilhos antes de desistir e excluir a pessoa da minha vida.", 
1494449624211464193,"@alaildo_jose Hoje tá rolando Paulistão no YouTube com imagens ao vivo e grátis! Aproveite a narração que você quiser, novos ângulos de câmeras, chat ao vivo, muito conteúdo e zoeira sem fim. Clique aqui para assistir Mirassol x Santos no canal do Paulistão no YouTube", 
1494449624106553350,rindo do dia q fiz a sofia ler a minha receita médica depois q fiz cirurgia pq tinha escrito um trem no papel de zoas e ela leu tudinho até perceber q eu tinha feito algo, 
1494449624098164740,desde 2018 desejando uma camiseta com a capa desse album 😥 onde será que manda fazer (sem ficar parecendo um modelo de uniforme) https://t.co/QdbP36Xza2, 
1494449623838171138,to morrendo de fome mas a única coisa que eu posso comer é sorvete, 
1494449623561351173,"A boca falou o cu pagou, eu to CHORANDO PORRAAAA EU TO ME FORMANDO!!!!", 
1494449623548710913,não estou crendo q estou perdendo a live do jão, 
1494449623490076673,"@marisaspeed75 @LulaOficial Mentira dela, presida! O que não queremos é gasolina a 8 reais, desemprego, fascismo, rachadinha de gabinete, vereador passeando pela Europa em horário de expediente...
#LulaPresidente13  #LulaNoPrimeiroTurno", 
1494449623448133634,"@Lelliiss Estou chocada com a minha pontuação. Se eu cheguei em casa viva, dou 5 estrelas mto obrigada.", 
1494449623435554823,"@acesso_arthur @aguiarchive QUARTO DESAFIO

Stop com a letra A

Nome   Arthur  

 CASA REVIRADA", 
1494449623414591488,acabou meu pacote do rhythm hive não tem mais wonu me mandando parabéns não tem mais sentido a vida 😔😢, 
